set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
development,small_01,pendulum,harmonic,snn,removed,0.1,14.197069628746611,11.89250025641209,24.62,10.041101741755737,7.2027827424345645,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,as_is,0.2,18.694252746361446,11.590682183140324,24.69,14.88343185366896,14.894209254775166,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,removed,0.2,14.830511612519338,12.052567463815318,24.525000000000002,10.041101741755737,7.2027827424345645,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,as_is,0.025,18.235182228496942,11.634342538442445,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,removed,0.025,14.639429774658323,9.935340939650676,24.935000000000002,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,as_is,0.05,23.155367254275305,14.157001362517494,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,removed,0.05,19.989797813987558,12.845511162268243,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,as_is,0.1,36.6634348442024,20.934885197292807,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,removed,0.1,34.26969976355227,21.748080853987844,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,as_is,0.2,83.59291299935015,43.58208022364667,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,snn,removed,0.2,82.82638119861755,46.71097269178321,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,as_is,0.025,16.932232123324933,11.574769637067124,inf,73.26868619802738,75.86253243629422,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,removed,0.025,12.07824780098589,8.63267388431617,24.85,69.12649030873621,71.44160134671145,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,as_is,0.05,19.7448017141451,12.60839935326742,inf,73.26868619802738,75.86253243629422,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,removed,0.05,15.274028029792218,10.083265483118568,24.975,69.12649030873621,71.44160134671145,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,as_is,0.1,26.419624808379183,15.545385652808942,inf,73.26868619802738,75.86253243629422,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,removed,0.1,21.966305798140688,14.239435075912473,24.88,69.12649030873621,71.44160134671145,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,snn,as_is,0.2,39.30011806718406,25.31362919845685,inf,73.26868619802738,75.86253243629422,2.004097364306504,nan,nan,0.0,5006,0.0
